OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
,,,,,,,,,,,,,,,,,,office of operations,12,44,,,,,
,,,,,,,,,,,,,,,,,,External Services,12,46,,,,,
,,,,,,,,,,,,,,,,,,Office of the Chief Financial Officer,12,47,,,,,
,,,,,,,,,,,,,,,,,,Economic Research Service,12,49,,,,,
,,,,,,,,,,,,,,,,,,AMS Contractors,12,50,,,,,
,,,,,,,,,,,,,,,,,,Organization of Professional Employees,12,51,,,,,
,,,,,,,,,,,,,,,,,,USDA Graduate School,12,52,,,,,
,,,,,,,,,,,,,,,,,,International Cotton Advisory Commission,12,53,,,,,
,,,,,,,,,,,,,,,,,,Office of the Inspector General,12,55,,,,,
,,,,,,,,,,,,,,,,,,National Appeals Division,12,56,,,,,
,,,,,,,,,,,,,,,,,,Office of Chief Economist,12,57,,,,,
,,,,,,,,,,,,,,,,,,board of contract appeal,12,58,,,,,
,,,,,,,,,,,,,,,,,,USDA Vacant Space,12,59,,,,,
,,,,,,,,,,,,,,,,,,office of procurement an,12,60,,,,,
,,,,,,,,,,,,,,,,,,Office of Civil Rights,12,61,,,,,
,,,,,,,,,,,,,,,,,,"USDA, National Capital Region",12,62,,,,,
,,,,,,,,,,,,,,,,,,Departmental Administration,12,89,,,,,
,,,,,,,,,,,,,,,,,,State Conservation Service,12,90,,,,,
,,,,,,,,,,,,,,,,,,State Forestry Commission,12,91,,,,,
,,,,,,,,,,,,,,,,,,State Extension Service,12,92,,,,,
,,,,,,,,,,,,,,,,,,Farm Service Agency - County,12,93,,,,,
,,,,,,,,,,,,,,,,,,Milk Marketing Association,12,94,,,,,
Department of Commerce,Bureau of Economic Analysis    ,Department of Commerce,Bureau of Economic Analysis,DEPARTMENT OF COMMERCE CM,OFFICE OF THE SECRETARY CM51,Commerce Department,,"Commerce, Department of",--,Department of Commerce,Department of Commerce,U.S. Department of Commerce,Department of Commerce,Department of Commerce,Bureau of Economic Analysis,Department of Commerce,Bureau of Economic Analysis,Department of Commerce,13,0,"Commerce, Dept of (DOC)",Department of Commerce,Bureau of Economic Analysis,Department of Commerce,Department of Commerce
Department of Commerce,Bureau of Industry and Security    ,Department of Commerce,Bureau of Industry and Security,DEPARTMENT OF COMMERCE CM,ECONOMIC DEVELOPMENT ADMINISTRATION CM52,Commerce Department,Census Bureau,"Commerce, Department of",Bureau of Census,,,,,Department of Commerce,Bureau of Industry and Security,Department of Commerce,Bureau of Industry and Security,Office of the Secretary,13,1,,Department of Commerce,Bureau of Industry and Security,,
Department of Commerce,Bureau of the Census    ,Department of Commerce,Bureau of the Census,DEPARTMENT OF COMMERCE CM,BUREAU OF ECONOMIC ANALYSIS CM53,Commerce Department,Economic Analysis Bureau,"Commerce, Department of",Bureau of Economic Analysis,,,,,Department of Commerce,Census Bureau,Department of Commerce,Census Bureau,Minority Business Development Agency,13,2,,Department of Commerce,Economic and Statistics Administration,,
Department of Commerce,Department of Commerce    ,Department of Commerce,Economic Development Administration,DEPARTMENT OF COMMERCE CM,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION CM54,Commerce Department,Economic Development Administration,"Commerce, Department of",Bureau of Industry and Security,,,,,Department of Commerce,Department of Commerce,Department of Commerce,Department of Commerce,Bureau of the Census,13,4,,Department of Commerce,Economic Development Administration,,
Department of Commerce,Departmental Management    ,Department of Commerce,International Trade Administration,DEPARTMENT OF COMMERCE CM,INTERNATIONAL TRADE ADMINISTRATION CM55,Commerce Department,Economics and Statistics Administration,"Commerce, Department of",Economic Development Administration,,,,,Department of Commerce,Economic Development Administration,Department of Commerce,Economic Development Administration,National Telecommunications Information Administration,13,5,,Department of Commerce,International Trade Administration,,
Department of Commerce,Economic Development Administration    ,Department of Commerce,Minority Business Development Agency,DEPARTMENT OF COMMERCE CM,PATENT AND TRADEMARK OFFICE CM56,Commerce Department,Export Administration Bureau,"Commerce, Department of",Foreign-Trade Zones Board,,,,,Department of Commerce,International Trade Administration,Department of Commerce,International Trade Administration,"Nat'l Inst. Standards & Technology, Gaithersburg, MD",13,6,,Department of Commerce,Minority Business Development Agency,,
Department of Commerce,International Trade Administration    ,Department of Commerce,National Institute of Standards and Technology,DEPARTMENT OF COMMERCE CM,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY CM57,Commerce Department,Foreign-Trade Zones Board,"Commerce, Department of",International Trade Administration,,,,,Department of Commerce,Minority Business Development Agency,Department of Commerce,Minority Business Development Agency,U.S. Travel and Tourism Administration,13,7,,Department of Commerce,National Institute of Standards and Technology,,
Department of Commerce,Minority Business Development Agency    ,Department of Commerce,National Oceanic and Atmospheric Administration,DEPARTMENT OF COMMERCE CM,MINORITY BUSINESS DEVELOPMENT AGENCY CM59,Commerce Department,Industry and Security Bureau,"Commerce, Department of",Minority Business Development Agency,,,,,Department of Commerce,NASA GSFC,Department of Commerce,NASA GSFC,National Technical Information Services,13,8,,Department of Commerce,National Oceanic and Atmospheric Administration,,
Department of Commerce,National Institute of Standards and Technology    ,Department of Commerce,National Technical Information Service,DEPARTMENT OF COMMERCE CM,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION CM61,Commerce Department,International Trade Administration,"Commerce, Department of",National Institute of Standards and Technology,,,,,Department of Commerce,National Executive Committee for Space-Based PNT,Department of Commerce,National Executive Committee for Space-Based PNT,"Nat'l Inst. Standards & Technology, Boulder, CO",13,9,,Department of Commerce,National Technical Information Service,,
Department of Commerce,National Oceanic and Atmospheric Administration    ,Department of Commerce,National Telecommunications and Information Administration,DEPARTMENT OF COMMERCE CM,NATIONAL TECHNICAL INFORMATION SERVICE CM62,Commerce Department,Minority Business Development Agency,"Commerce, Department of",National Oceanic and Atmospheric Administration,,,,,Department of Commerce,National Institute of Standards and Technology,Department of Commerce,National Institute of Standards and Technology,Patent and Trademark Office,13,10,,Department of Commerce,National Telecommunications and Information Administration,,
Department of Commerce,National Technical Information Service    ,Department of Commerce,United States Patent and Trademark Office,DEPARTMENT OF COMMERCE CM,BUREAU OF THE CENSUS CM63,Commerce Department,National Institute of Standards and Technology,"Commerce, Department of",National Oceanic and Atmospheric Administration National Marine Fisheries Service,,,,,Department of Commerce,National Oceanic and Atmospheric Administration,Department of Commerce,National Oceanic and Atmospheric Administration,International Trade Administration,13,12,,Department of Commerce,U.S. Census Bureau,,
Department of Commerce,National Telecommunications and Information Administration    ,Department of Commerce,,DEPARTMENT OF COMMERCE CM,OFFICE OF THE INSPECTOR GENERAL CM64,Commerce Department,National Oceanic and Atmospheric Administration,"Commerce, Department of",National Technical Information Service,,,,,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,Department of Commerce,National Science and Technology Council,Office of Inspector General,13,13,,Department of Commerce,United States Patent and Trademark Office,,
Department of Commerce,U.S. Patent and Trademark Office    ,,,DEPARTMENT OF COMMERCE CM,ECONOMICS AND STATISTICS ADMINISTRATION CM65,Commerce Department,National Technical Information Service,"Commerce, Department of",National Telecommunications and Information Administration,,,,,Department of Commerce,National Science and Technology Council,Department of Commerce,National Technical Information Service,National Oceanic Atmospheric Administration,13,14,,Department of Commerce,,,
,,,,DEPARTMENT OF COMMERCE CM,BUREAU OF INDUSTRY AND SECURITY CM67,Commerce Department,National Telecommunications and Information Administration,"Commerce, Department of",Office of Secretary of Commerce,,,,,Department of Commerce,National Technical Information Service,Department of Commerce,National Telecommunications and Information Administration,Economic Affairs,13,15,,,,,
,,,,,,Commerce Department,Patent and Trademark Office,"Commerce, Department of",Office of Under-Secretary for Economic Affairs,,,,,Department of Commerce,National Telecommunications and Information Administration,Department of Commerce,National Weather Service,Bureau of Industry and Security,13,16,,,,,
,,,,,,Commerce Department,Technology Administration,"Commerce, Department of",United States Patent and Trademark Office,,,,,Department of Commerce,National Weather Service,Department of Commerce,NOAA Coastal Services Center,Technology Administration,13,17,,,,,
,,,,,,Commerce Department,Travel and Tourism Administration,,,,,,,Department of Commerce,NOAA Climate Program Office,Department of Commerce,NOAA/National Hurricane Center,Post Regional Task Force (Exp. Code),13,18,,,,,
,,,,,,Commerce Department,Under-Secretary for Economic Affairs,,,,,,,Department of Commerce,NOAA Coastal Services Center,Department of Commerce,NOAA/NCDC,Bureau of Economic Analysis (Exp. Code),13,19,,,,,
,,,,,,,,,,,,,,Department of Commerce,NOAA Fisheries,Department of Commerce,NOAA/Space Weather Prediction Center,Economic Development Administration,13,20,,,,,
,,,,,,,,,,,,,,Department of Commerce,NOAA/National Hurricane Center,Department of Commerce,NWS/OPS33,Office of the Secretary (Exp. Code - Use Code 1301),13,21,,,,,
,,,,,,,,,,,,,,Department of Commerce,NOAA/NCDC,Department of Commerce,Office of the Chief Information Officer,United States Travel Service (Exp. Code),13,22,,,,,
,,,,,,,,,,,,,,Department of Commerce,NOAA/Space Weather Prediction Center,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,Economic Development Administration (Exp. Code - Use Code 1320),13,25,,,,,
,,,,,,,,,,,,,,Department of Commerce,NWS/OPS33,Department of Commerce,Office of the Secretary,Office of Minority Business Enterprise (Exp. Code - Use Code 1302),13,28,,,,,
,,,,,,,,,,,,,,Department of Commerce,Office of the Chief Information Officer,Department of Commerce,Space Environment Center W/NP9,Upper Great Lakes Regional Commission (Exp. Code),13,30,,,,,
,,,,,,,,,,,,,,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,Department of Commerce,U. S. National Ice Center,New England Regional Commission (Exp. Code),13,31,,,,,
,,,,,,,,,,,,,,Department of Commerce,Space Environment Center W/NP9,Department of Commerce,USPTO,Pacific-Northwest Regional Commission (Exp. Code),13,33,,,,,
,,,,,,,,,,,,,,Department of Commerce,TCD / BIS / Dept of Commerce,Department of Commerce,West Coast & Alaska Tsunami Warning Center,OP/ADP Management (Exp. Code),13,34,,,,,
,,,,,,,,,,,,,,Department of Commerce,U. S. National Ice Center,,,Four Corner Regional Commission (Exp. Code),13,35,,,,,
,,,,,,,,,,,,,,Department of Commerce,USPTO,,,Coastal Plains Regional Commission (Exp. Code),13,36,,,,,
,,,,,,,,,,,,,,Department of Commerce,West Coast & Alaska Tsunami Warning Center,,,Ozark Regional Commission (Exp. Code),13,37,,,,,
,,,,,,,,,,,,,,,,,,Old West Regional Commission (Exp. Code),13,38,,,,,
,,,,,,,,,,,,,,,,,,Southwest Border Region Commission (Exp. Code),13,39,,,,,
,,,,,,,,,,,,,,,,,,Government Contractors (Exp. Code - Use Code 1399),13,51,,,,,
Department of Defense--Military Programs,Allowances    ,Department of Defense,Army Air Force Exchange Service,DEPARTMENT OF DEFENSE DD,OFFICE OF THE SECRETARY OF DEFENSE DD01,Defense Department,,"Defense, Department of",--,Department of Defense,Department of Defense,U.S. Department of Defense,Department of Defense,Department of Defense,Advanced Distributed Learning Initiative,Department of Defense,Advanced Distributed Learning Initiative,Office of the Secretary of Defense,97,0,"Defense, Dept of (DOD)",Department of Defense,Air Force,Department of Defense,
Department of Defense--Military Programs,Department of Defense--Military Programs    ,Department of Defense,Defense Commissary Agency,DEPARTMENT OF DEFENSE DD,ORGANIZATION OF THE JOINT CHIEFS OF STAFF DD02,Defense Department,Air Force Department,"Defense, Department of",Army Corps of Engineers,,,,,Department of Defense,AFTAC/LSCSS,Department of Defense,Air Force,Joint-Brazil-United States Defense Commission,97,1,,Department of Defense,Army,,
