title,description,keywords,domain,agency,bureau
,"The Advanced Photon Source (APS) at Argonne National Laboratory is a national synchrotron x-ray research facility funded by the U.S. Department of Energy, Office of Science, Office of Basic Energy Sciences. The APS provides the brightest x-ray beams in the Western Hemisphere to more than 5,000 scientists worldwide.","APS, aps, the APS, www.aps.anl.gov, Advanced Photon Source, Advanced, Photon, Source, Argonne National Laboratory, Argonne, national, synchrotron, x-ray, x-rays, xray, beams, beam line, beamlines, beam time, beamtime, light source, lightsource, lab, laboratory",subversion-d.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,"The Advanced Photon Source (APS) at Argonne National Laboratory is a national synchrotron x-ray research facility funded by the U.S. Department of Energy, Office of Science, Office of Basic Energy Sciences. The APS provides the brightest x-ray beams in the Western Hemisphere to more than 5,000 scientists worldwide.","APS, aps, the APS, www.aps.anl.gov, Advanced Photon Source, Advanced, Photon, Source, Argonne National Laboratory, Argonne, national, synchrotron, x-ray, x-rays, xray, beams, beam line, beamlines, beam time, beamtime, light source, lightsource, lab, laboratory",subversion.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,support.nst.anl.gov,Department of Energy,Argonne National Laboratory
,"The Advanced Photon Source (APS) at Argonne National Laboratory is a national synchrotron x-ray research facility funded by the U.S. Department of Energy, Office of Science, Office of Basic Energy Sciences. The APS provides the brightest x-ray beams in the Western Hemisphere to more than 5,000 scientists worldwide.","APS, aps, the APS, www.aps.anl.gov, Advanced Photon Source, Advanced, Photon, Source, Argonne National Laboratory, Argonne, national, synchrotron, x-ray, x-rays, xray, beams, beam line, beamlines, beam time, beamtime, light source, lightsource, lab, laboratory",svn-d.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,symposium30.cels.anl.gov,Department of Energy,Argonne National Laboratory
,GitLab Community Edition,,tantalum.nec.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,tcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,tomato.dnd.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,tomato.ls.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,tonks.gss.anl.gov,Department of Energy,Argonne National Laboratory
,,,typhoon.pub.alcf.anl.gov,Department of Energy,Argonne National Laboratory
,,,usaxs.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,v6-vpn.net.anl.gov,Department of Energy,Argonne National Laboratory
,,,video.ser.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,visa.aps.anl.gov,Department of Energy,Argonne National Laboratory
,Current weather conditions at Argonne National Laboratory with information on heat index and protective measures for outdoor workers.,,weather.anl.gov,Department of Energy,Argonne National Laboratory
,,,web.evs.anl.gov,Department of Energy,Argonne National Laboratory
,,,wiki.anl.gov,Department of Energy,Argonne National Laboratory
,"The Advanced Photon Source (APS) at Argonne National Laboratory (in Argonne, Illinois, USA) is a national synchrotron-radiation light source research facility funded by the United States Department of Energy Office of Science.",,wiki-ext.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,wiki-internal.alcf.anl.gov,Department of Energy,Argonne National Laboratory
,,,wiki.lcrc.anl.gov,Department of Energy,Argonne National Laboratory
,,,windeis.anl.gov,Department of Energy,Argonne National Laboratory
,,,wordpress.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,xrm2010.aps.anl.gov,Department of Energy,Argonne National Laboratory
"Architect of the Capitol | Serve, Preserve, Inspire","Serving Congress and the Supreme Court, the Architect of the Capitol (AOC) is the builder and steward of the landmark buildings and grounds of Capitol Hill. Our staff preserves and maintains the historic buildings, monuments, art and inspirational gardens on the Capitol campus.",,www.aoc.gov,Architect of the Capitol,Architect of the Capitol
Homepage | Apprenticeship.gov,"With Apprenticeship.gov, you have a one stop source to find apprenticeship opportunities, learn about apprenticeships and its benefits, and learn about industries supporting apprenticeships.",,www.apprenticeship.gov,Department of Labor,Office of the Chief Information Officer
,"Use Microsoft Forms to easily create online surveys, forms, quizzes and questionnaires. AI powered, free survey tool from Microsoft.","free online survey, free online surveys, survey tool, survey maker, survey creator, questionnaire, questionnaires, free online forms, free online form, online assignments",forms.osi.apps.mil,Department of Defense,
Appalachian Regional Commission - Investing in Appalachia's economic future.,"Appalachian Regional Commission The Appalachian Regional Commission (ARC) is an economic development partnership entity of the federal government and 13 state governments focusing on 423 counties across the Appalachian Region. ARC’s mission is to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia. Research and Resources",,arc.gov,Appalachian Regional Commission,Appalachian Regional Commission
,,,workplace.arc.gov,Appalachian Regional Commission,Appalachian Regional Commission
,,,1950census.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,aad.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,A blog of the National Historical Publications and Records Commission,,annotation.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,aotus11.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,aotus.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,archie.archives.gov,National Archives and Records Administration,National Archives and Records Administration
National Archives | Home,National Archives and Records Administration,,www.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,arcis.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,President Biden and Vice President Harris promised to move quickly to deliver results for working families. That’s what they’ve done.,,bidenwhitehouse.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,bush41library.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,"The online portal to the records held at the National Archives, and information about those records.",,catalog.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,civics.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,clintonwhitehouse3.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,clintonwhitehouse4.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,clintonwhitehouse5.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,clintonwhitehouse6.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,cmrsanalytics.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,crcca.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,This year more than 2 million Americans will suffer from opioid addiction. Watch the stories of diverse Americans who have been impacted by this epidemic.,,crisisnextdoor.trumpwhitehouse.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,"Releasing all we can, protecting what we must",,declassification.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,Sharing teaching and learning resources from the National Archives,,education.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,eservices.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,estore.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,The blog of the Franklin D. Roosevelt Presidential Library and Museum,,fdr.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,fixity-check.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,Building a Better FOIA Process,,foia.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,"eMuseum is a powerful web publishing toolkit that integrates seamlessly with TMS to bring dynamic collection content and images to your website, intranet, and kiosks.",emuseum,ford.artifacts.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,,,ford.blogs.archives.gov,National Archives and Records Administration,National Archives and Records Administration
503 Service Temporarily Unavailable,"Founders Online: Correspondence and Other Writings of Seven Major Shapers of the United States (George Washington, Benjamin Franklin, John Adams, Thomas Jefferson, Alexander Hamilton, John Jay, James Madison)",,founders.archives.gov,National Archives and Records Administration,National Archives and Records Administration
,"Whitehouse.gov is the official web site for the White House and President George W. Bush, the 43rd President of the United States. This site is a source for information about the President, White House news and policies, White House history, the federal government","social security, medicare, energy, tax relief, Education, policies, White House history, White House news, news, United States of America, 43rd President, George W., W., George W, President George W. Bush, President Bush, White House, government",georgewbush-whitehouse.archives.gov,National Archives and Records Administration,National Archives and Records Administration
